item no.,Type,Ratio,Power,Speed,Torque,S.F,Voltage System,Rated Current (at 400 V),Brake Volt / Torque / Rectifier,Shaft / Flange,MTG/KK,MOTOR FLANGE,Serial No.,ID No.,Machine No.
21,KA37/TDRE90L4,12.14,1.5,1430/118,122,1.3,230/400,3.45,,D30,M1B/0,120,40.1388005301.0001.11,323.01214.70.0021,660M1
22,KA37/TDRE90L4,12.14,1.5,1430/118,122,1.3,230/400,3.45,,D30,M1A/180,120,40.1388005302.0001.11,323.01214.70.0022,665M1
23,KA37/TDRE90L4,13.08,1.5,1430/109,131,1.25,230/400,3.45,,D30,M1B/0,120,40.1388005305.0007.11,323.01308.70.0023,610M1
24,KA37/TDRE90L4,13.08,1.5,1430/109,131,1.25,230/400,3.45,,D30,M1B/0,120,40.1388005305.0004.11,323.01308.70.0024,615M1
25,KA37/TDRE90L4,13.08,1.5,1430/109,131,1.25,230/400,3.45,,D30,M1A/180,120,40.1388005305.0001.11,323.01308.70.0025,M4.17
26,KA37/TDRE90L4,13.08,1.5,1430/109,131,1.25,230/400,3.45,,D30,M1B/0,120,40.1388005305.0003.11,323.01308.70.0026,630M1
27,KA37/TDRE90L4,13.08,1.5,1430/109,131,1.25,230/400,3.45,,D30,M1B,120,40.1388005305.000?.11,323.01308.70.0027,"M4,17 (2)"
28,KA37/TDRE90L4,13.08,1.5,1430/109,131,1.25,230/400,3.45,,D30,M1B/0,120,40.1388005305.0005.11,323.01308.70.0028,690M1
29,KA37/TDRE90L4,13.08,1.5,1430/109,131,1.25,230/400,3.45,,D30,M1B/0,120,40.1388005305.0006.11,323.01308.70.0029,695M1
30,KA37/TDRE90L4,13.08,1.5,1430/109,131,1.25,230/400,3.45,,D30,M1A/180,120,40.1388005309.0001.11,323.01308.70.0030,700M1
31,KA37DRE90L4,17.15,1.5,1430/83,172,1.05,230/400,3.45,,D30,M1A/270,120,40.1397857601.0002.11,323.01715.70.0031,500M1
32,KA37DRE90L4,17.15,1.5,1430/83,172,1.05,230/400,3.45,,D30,M1A/270,120,40.1387857801.0001.11,323.01715.70.0032,1010M1
33,KA37DR63L4/BR,67.8,0.25,1300/19,125,1.6,230/400,1.27,400/2.4/BG1.2,D30,M6A/0,120,40.1384743403.0001.11,323.06780.3B.0033,1440M1
34,KA37/TDRE100L4,8.91,2.2,1440/162,130,1.25,230/400,4.95,,D30,M1A/270,120,40.1387983902.0001.11,323.00891.80.0034,505M1
35,KF37DRE90M4BE2,8.91,1.1,1420/158,66,2.4,230/400,2.55,,,,120,40.1386059303.0001.11,313.00891.6B.0035,1310M1
36,KH37DRE80M4BE1,6.8,0.75,1435/211,34,4.4,230/400,1.75,,,M3A/270,120,40.1384285507.0002.11,333.00680.5B.0036,582M1
37,KH37DRE80M4BE1,6.8,0.75,1435/211,34,4.4,230/400,1.75,,,M3A/270,120,????,333.00680.5B.0037,582M3
38,KHZ37DRE90M4,5.36,1.1,1420/265,40,3.5,230/400,2.55,,,M1A,120,40.1384323802.0001.11 ,373.00536.60.0038,570M1ACMI
39,KH37DRE100L4BE5,10.49,2.2,1440/137,153,1.05,230/400,4.95,,,M4A,120,40.1386059308.0001.11,333.01049.8B.0039,1600M1
40,KHZ37DRE90M4,20.19,1.1,1420/70,149,1.25,230/400,2.55,,,M2B/270,120,40.1384285509.0001.11,373.02019.60.0040,745M1
41,KHZ37DRE90M4,20.19,1.1,1420/70,149,1.25,230/400,2.55,,,M3B/90,120,40.1384323801.0002.11,373.02019.60.0041,575M1ACMI
42,KHZ37AQH100/3,10.49,,1400/133,160,,,,,,M1A,,01.1301853906.0001.09,373.01049.AQ.0042,520M1ACMI
43,KHZ37AQH100/3,10.49,,1400/133,160,,,,,,M1A,,,373.01049.AQ.0043,525M1ACMI
44,KHZ37AQH100/3,10.49,,1400/133,160,,,,,,M3A,,,373.01049.AQ.0044,530M1ACMI
45,KA47/TDRE80M4BE1,63.3,0.75,1435/23,315,1.25,230/400,1.75,400/10/BG,D35,M1A/180,160,40.1390182004.0001.11,324.06330.5B.0045,895M1
46,KA47/TDRE80M4BE1,63.3,0.75,1435/23,315,1.25,230/400,1.75,400/10/BG,D35,M1A/180,160,40.1390182004.0002.11,324.06330.5B.0046,915M1
47,KA47/TDRE80M4BE1,63.3,0.75,1435/23,315,1.25,230/400,1.75,400/10/BG,D35,M1B/0,160,40.1390182005.0001.11,324.06330.5B.0047,920M1
48,KA47/TDRE90L4,25.91,1.5,1430/55,260,1.55,230/400,3.45,,D35,M1A/180,160,40.1387983907.0001.11,324.02591.70.0048,565M1
49,KA47/TDRE90L4,25.91,1.5,1430/55,260,1.55,230/400,3.45,,D35,M1B/0,160,40.1388005307.0001.11,324.02591.70.0049,640M1
50,KA47/TDRE90L4,29.32,1.5,1430/49,295,1.35,230/400,3.45,,D35,M1A/180,160,40.1388005306.0002.11,324.02591.70.0050,635M1
51,KA47/TDRE90L4,29.32,1.5,1430/49,295,1.35,230/400,3.45,,D35,M1B/0,160,40.1388005310.0001.11,324.02591.70.0051,710M1
52,KA47/TDRE90L4,29.32,1.5,1430/49,295,1.35,230/400,3.45,,D35,M1B/0,160,40.1388005306.0001.11,324.02591.70.0052,725M1
53,KA47/TDRE90L4,39.61,1.5,1430/36,395,1,230/400,3.45,,D35,M1A/180,160,40.1387983904.0002.11,324.03961.70.0053,520M1
54,KA47/TDRE90L4,39.61,1.5,1430/36,395,1,230/400,3.45,,D35,M1B/0,160,40.1387983905.0001.11,324.03961.70.0054,525M1
55,KA47/TDRE90L4,39.61,1.5,1430/36,395,1,230/400,3.45,,D35,M1A/180,160,40.1387983904.0003.11,324.03961.70.0055,530M1
56,KA47/TDRE90L4,39.61,1.5,1430/36,395,1,230/400,3.45,,D35,M1B/0,160,40.1387983905.0004.11,324.03961.70.0056,535M1
57,KA47/TDRE90L4,39.61,1.5,1430/36,395,1,230/400,3.45,,D35,M1B/0,160,40.1387983905.0005.11,324.03961.70.0057,540M1
58,KA47/TDRE90L4,39.61,1.5,1430/36,395,1,230/400,3.45,,D35,M1A/180,160,40.1387983904.0001.11,324.03961.70.0058,545M1
59,KA47/TDRE90L4,39.61,1.5,1430/36,395,1,230/400,3.45,,D35,M1B/0,160,40.1387983905.0002.11,324.03961.70.0059,550M1
60,KA47/TDRE90L4,39.61,1.5,1430/36,395,1,230/400,3.45,,D35,M1B/0,160,40.1387983905.0003.11,324.03961.70.0060,555M1
61,KA47DRE90L4,16.86,1.5,1430/85,169,2.3,230/400,3.45,,D35,M1A/180,160,40.1390182002.0003.11,324.01686.70.0061,805M1
62,KA47DRE90L4,16.86,1.5,1430/85,169,2.3,230/400,3.45,,D35,M1A/180,160,40.1390182002.0013.11,324.01686.70.0062,830M1
63,KA47DRE90L4,16.86,1.5,1430/85,169,2.3,230/400,3.45,,D35,M1A/180,160,40.1390182001.0010.11,324.01686.70.0063,840M1
